date,Voltage,Current,Charge_Capacity,Discharge_Capacity
01/27/2018 15:48:09.697,3.409640312,0,0,0
01/27/2018 15:50:09.697,3.410280228,0,0,0
01/27/2018 15:52:09.697,3.410617828,0,0,0
01/27/2018 15:54:09.697,3.410776138,0,0,0
01/27/2018 15:56:09.697,3.41097641,0,0,0
01/27/2018 15:58:09.698,3.411161423,0,0,0
01/27/2018 16:00:09.697,3.411312103,0,0,0
01/27/2018 16:02:09.699,3.411500931,0,0,0
01/27/2018 16:04:09.698,3.411621094,0,0,0
01/27/2018 16:06:09.697,3.411757469,0,0,0
01/27/2018 16:08:09.699,3.411929131,0,0,0
01/27/2018 16:10:09.697,3.412139893,0,0,0
01/27/2018 16:12:09.697,3.412294388,0,0,0
01/27/2018 16:14:09.698,3.412445068,0,0,0
01/27/2018 16:16:09.698,3.412574768,0,0,0
01/27/2018 16:18:09.698,3.412731171,0,0,0
01/27/2018 16:20:09.698,3.412926674,0,0,0
01/27/2018 16:22:09.698,3.413075447,0,0,0
01/27/2018 16:24:09.697,3.413227081,0,0,0
01/27/2018 16:26:09.698,3.413394928,0,0,0
01/27/2018 16:28:09.698,3.413551331,0,0,0
01/27/2018 16:30:09.698,3.413719177,0,0,0
01/27/2018 16:32:09.697,3.413864136,0,0,0
01/27/2018 16:34:09.698,3.414011002,0,0,0
01/27/2018 16:36:09.698,3.414178848,0,0,0
01/27/2018 16:38:09.698,3.414360046,0,0,0
01/27/2018 16:40:09.698,3.41446209,0,0,0
01/27/2018 16:42:09.697,3.414611816,0,0,0
01/27/2018 16:44:09.698,3.414755821,0,0,0
01/27/2018 16:46:09.698,3.414916039,0,0,0
01/27/2018 16:46:09.699,3.414915085,0,0,0
01/27/2018 16:48:09.781,4.200196266,4.076436043,0.152708367,0
01/27/2018 16:50:09.783,4.200196266,3.869315147,0.285505414,0
01/27/2018 16:52:09.782,4.200228691,3.526719093,0.408908516,0
01/27/2018 16:53:54.541,4.200205803,3.259999275,0.507375956,0
01/27/2018 16:55:54.553,4.224581718,3.259903908,0.615805566,0
01/27/2018 16:57:54.555,4.247310638,3.259871483,0.724487364,0
01/27/2018 16:59:54.553,4.268386841,3.25987339,0.833142281,0
01/27/2018 17:01:54.553,4.28851223,3.259829521,0.941807508,0
01/27/2018 17:03:54.554,4.308418274,3.260004997,1.05045855,0
01/27/2018 17:05:54.553,4.328988075,3.259860039,1.159138918,0
01/27/2018 17:07:54.553,4.351089478,3.259964943,1.267784834,0
01/27/2018 17:09:54.553,4.374826431,3.259940147,1.376399398,0
01/27/2018 17:11:54.553,4.400172234,3.25766468,1.485097647,0
01/27/2018 17:13:54.554,4.400177002,3.005085945,1.589194179,0
01/27/2018 17:15:54.554,4.400157928,2.791714668,1.685782313,0
01/27/2018 17:17:54.554,4.400092125,2.598954201,1.775510669,0
01/27/2018 17:19:54.553,4.400145531,2.425654411,1.859277129,0
01/27/2018 17:21:54.553,4.400152206,2.270388603,1.937481999,0
01/27/2018 17:23:54.553,4.400074005,2.129361153,2.010795355,0
01/27/2018 17:25:54.553,4.400135994,2.004103661,2.079670668,0
01/27/2018 17:27:54.554,4.400123596,1.887310982,2.144468784,0
01/27/2018 17:29:54.554,4.400051117,1.779473305,2.20557189,0
01/27/2018 17:31:54.553,4.400148392,1.683083534,2.263278008,0
01/27/2018 17:33:54.554,4.400076866,1.593409538,2.317831516,0
01/27/2018 17:35:54.553,4.400101662,1.50787735,2.369503975,0
01/27/2018 17:37:54.554,4.400065422,1.426642418,2.418401718,0
01/27/2018 17:39:54.554,4.400076866,1.35163784,2.464677572,0
01/27/2018 17:41:54.553,4.400096893,1.280927658,2.508566856,0
01/27/2018 17:43:54.555,4.400118828,1.213537216,2.550114393,0
01/27/2018 17:45:54.554,4.400060654,1.148692131,2.589468002,0
01/27/2018 17:47:54.554,4.400098801,1.08810997,2.626755714,0
